Date,Open,High,Low,Close,Volume
2023-03-28,2.63,2.63,2.36,2.43,1240725
2023-03-27,2.73,2.73,2.51,2.59,804973
2023-03-24,2.7,2.73,2.67,2.69,551645
2023-03-23,2.7,2.78,2.67,2.71,1401598
2023-03-22,2.72,2.74,2.64,2.72,918918
2023-03-21,2.68,2.7,2.66,2.67,1006578
2023-03-20,2.84,2.84,2.65,2.67,1504347
2023-03-17,2.84,2.87,2.78,2.8,874105
2023-03-16,2.9,2.94,2.79,2.83,2116277
2023-03-15,2.9,2.91,2.84,2.85,963672
2023-03-14,2.89,2.94,2.8,2.85,1306502
2023-03-13,3.11,3.12,2.8,2.86,2403529
2023-03-10,2.9,3.18,2.88,3.06,3493200
2023-03-09,2.89,2.92,2.88,2.9,1183612
2023-03-08,2.95,2.95,2.88,2.9,1749265
2023-03-06,2.95,2.96,2.87,2.92,2186370
2023-03-03,3.02,3.02,2.89,2.92,2631214
2023-03-02,2.99,3.03,2.92,2.95,1542563
2023-03-01,3.01,3.13,2.89,2.93,3142235
2023-02-28,3.07,3.1,2.98,3.01,2149574
2023-02-27,2.98,3.08,2.77,3.03,3540071
2023-02-24,3.34,3.41,2.97,2.98,18575937
2023-02-23,3.56,3.67,3.29,3.3,16377911
2023-02-22,3.64,3.69,3.51,3.57,2530157
2023-02-21,3.6,3.7,3.51,3.61,5787766
2023-02-20,3.44,3.66,3.35,3.53,9344892
2023-02-17,3.43,3.59,3.3,3.41,6574122
2023-02-16,3.75,3.95,3.39,3.41,17053338
2023-02-15,3.47,3.75,3.47,3.73,3472451
2023-02-14,3.56,3.59,3.3,3.41,2924443
2023-02-13,3.57,3.77,3.49,3.51,11829700
2023-02-10,3.67,3.83,3.49,3.51,15871270
2023-02-09,3.7,3.97,3.59,3.64,11992084
2023-02-08,3.77,3.82,3.58,3.67,7136935
2023-02-07,3.9,3.9,3.7,3.75,1943463
2023-02-06,4.18,4.18,3.8,3.8,10130190
2023-02-03,3.92,3.99,3.87,3.99,2348993
2023-02-02,3.84,3.9,3.75,3.8,451208
2023-02-01,3.97,3.97,3.81,3.84,422366
2023-01-31,3.92,4.05,3.86,3.9,856316
2023-01-30,4.04,4.04,3.75,3.92,1222917
2023-01-27,4.0,4.0,3.75,3.85,1674711
2023-01-25,4.0,4.01,3.88,3.94,413961
2023-01-24,4.0,4.07,3.95,3.97,863546
2023-01-23,4.12,4.26,3.96,3.99,1327395
2023-01-20,4.09,4.15,4.01,4.07,1252237
2023-01-19,4.1,4.1,3.95,4.04,696121
2023-01-18,4.05,4.15,3.96,4.06,1308793
2023-01-17,3.93,4.13,3.91,3.99,3138814
2023-01-16,4.0,4.03,3.9,3.94,494828
2023-01-13,3.88,4.02,3.82,4.0,563948
2023-01-12,3.97,3.97,3.85,3.89,379354
2023-01-11,4.01,4.01,3.9,3.91,495460
2023-01-10,4.0,4.04,3.92,3.95,364004
2023-01-09,4.0,4.05,3.91,3.97,725553
2023-01-06,4.01,4.05,3.95,3.99,620372
2023-01-05,4.01,4.07,4.01,4.03,609759
2023-01-04,4.1,4.14,3.99,4.01,673376
2023-01-03,4.07,4.25,4.01,4.1,947046
2023-01-02,4.05,4.15,3.99,4.07,846849
2022-12-30,4.08,4.08,3.9,4.02,832708
2022-12-29,3.98,4.04,3.85,4.01,1182097
2022-12-28,4.07,4.07,3.88,3.93,961689
2022-12-27,3.99,4.05,3.92,3.98,640912
2022-12-26,3.72,3.88,3.71,3.88,1238138
2022-12-23,3.85,3.85,3.7,3.7,1574928
2022-12-22,4.02,4.15,3.88,3.89,1782201
2022-12-21,4.21,4.34,4.02,4.08,1205781
2022-12-20,4.0,4.17,3.97,4.16,1281636
2022-12-19,4.03,4.1,3.95,3.98,1096895
2022-12-16,4.05,4.11,3.93,4.02,1346340
2022-12-15,4.14,4.19,3.98,4.01,1094965
2022-12-14,4.0,4.17,3.96,4.14,1111356
2022-12-13,3.94,4.1,3.9,3.98,1080820
2022-12-12,4.11,4.13,3.95,3.99,1279788
2022-12-09,4.17,4.3,4.0,4.11,1125071
2022-12-08,4.2,4.35,4.15,4.17,695202
