Date,Open,High,Low,Close,Total Trades,Traded Quantity
2015-09-04 00:00:00+05:30,149.15805759326904,151.065984516531,144.76720832045598,147.35467529296875,100072,14746077.065917969
2015-09-07 00:00:00+05:30,147.43309230051483,150.12509160613968,142.49338347101158,143.1206512451172,83078,11890177.464141846
2015-09-08 00:00:00+05:30,144.27062321343465,144.27062321343465,137.03095776355528,141.7093048095703,118404,16778948.526672363
2015-09-09 00:00:00+05:30,144.27062627913392,147.9296757617296,140.0627423988583,141.00363159179688,187754,26473995.84588623
2015-09-10 00:00:00+05:30,139.06956122651843,142.17975125837853,138.52071441154519,140.3240966796875,200550,28141997.589111328
2015-09-11 00:00:00+05:30,142.04904529201127,146.2046559063419,139.6706680295981,140.61155700683594,302367,42516294.65748596
2015-09-14 00:00:00+05:30,142.85928269079074,153.8363935264331,141.13430884209197,152.11141967773438,395640,60181362.08129883
2015-09-15 00:00:00+05:30,153.6534067805866,153.6534067805866,149.6807492795492,151.11822509765625,186508,28184757.926513672
2015-09-16 00:00:00+05:30,152.95918698040452,153.52769869810894,150.79339183623745,151.9845733642578,121838,18517496.449554443
2015-09-18 00:00:00+05:30,149.98119408412697,154.74594535256026,149.98119408412697,151.90333557128906,50506,7672029.866363525
2015-09-21 00:00:00+05:30,151.06411603807035,154.31280226969702,146.19107379891597,150.6038818359375,57651,8682464.391723633
2015-09-22 00:00:00+05:30,152.6072337036741,154.0691411454528,146.19106647070979,147.3822479248047,94764,13966531.342346191
2015-09-23 00:00:00+05:30,146.1910715849414,152.09285964776996,145.73083738977851,150.73924255371094,105309,15874198.894088745
2015-09-24 00:00:00+05:30,151.74091725702445,156.2078704680244,150.68509875005563,151.19947814941406,194661,29432641.61604309
2015-09-28 00:00:00+05:30,152.60722526797827,154.8000927552876,148.356853279719,149.54803466796875,87296,13054945.234375
2015-09-29 00:00:00+05:30,147.81541073871304,149.2773310844061,144.24185345489101,147.49053955078125,72472,10688934.382324219
2015-09-30 00:00:00+05:30,148.16735381570194,153.22990401995435,148.16735381570194,150.65802001953125,63540,9572810.592041016
2015-10-01 00:00:00+05:30,152.49893702645767,156.69516387926657,151.0641022425549,153.28404235839844,149337,22890979.033676147
2015-10-05 00:00:00+05:30,153.98791406065163,167.84899355196953,153.87962367211017,166.49537658691406,601860,100206907.3526001
2015-10-06 00:00:00+05:30,168.17387878439928,168.17387878439928,163.08425588065745,163.81521606445312,127978,20964743.721496582
